id;name;sel;input
1;Noble;;
2;Resistant to Aging;;
3;Pleasant Smelling;;
4;Aptitude;;
5;Ambidextrous;;
6;Darksight;;
7;Iron-Attuned Aura;;
8;Sense of Range;;
9;Nimble;;
10;Fox Sense;;
11;Natural Orator;;
12;Blessed;;
13;Resistant to Poison;;
14;Luck;;
15;Good Looks;;
16;Exceptional Skill;;
17;Exceptional Combat Technique;;
18;Exceptional Sense (Sight);;
19;Exceptional Sense (Hearing);;
20;Exceptional Sense (Smell & Taste);;
21;Exceptional Sense (Tactile Sense);;
22;Resistant to Heat;;
23;Increased Astral Power;;
24;Increased Karma Points;;
25;Increased Life Points;;
26;Increased Spirit;;
27;Increased Toughness;;
28;Immunity to (Poison);1?Arax&2?Kelmon&3?Tulmadron&4?Wurara;
29;Immunity to (Disease);1?Swift Difar&2?Lutanas&3?Rapid Mania&4?Swamp Fever/Brabak Sweat&5?Zorgan Pox;
30;Resistant to Cold;;
31;Resistant to Disease;;
32;Magical Attunement;1?Creature of the Glades&2?Creature of the Mountains&3?Creature of the Ice&4?Creature of the Sea&5?Creature of the Night&6?Creature of the Forest;Environment
33;Mystic;;
34;Needs no Sleep;;
35;Pragmatic;;
36;Rich;;
37;Direction Sense;;
38;Contortionist;;
39;Difficult to Enchant;;
40;Socially Adaptable;;
41;Unremarkable Appearance;;
42;Improved Regeneration (Arcane Energy);;
43;Improved Regeneration (Karma Points);;
44;Improved Regeneration (Life Points);;
45;Hidden Aura;;
46;Inspire Confidence;;
47;Weapon Aptitude;;
48;Beautiful Voice;;
49;Rugged Fighter;;
50;Spellcaster;;
51;Inner Clock;;
52;Two-Voiced Singing;;
53;Dwarf's Nose;;
