id;name
1;Abkühlung
2;Bauchreden
3;Duft
4;Feuerfinger
5;Glücksgriff
6;Handwärmer
7;Lockruf
8;Regenbogenaugen
9;Schlangenhände
10;Schnipsen
11;Signatur
12;Trocken
13;Bartwuchs
14;Beeren & Nüsse
15;Hexenblick
16;Kehrbesen
17;Leselampe
18;Pflanzenempathie
19;Waffensäuberung
20;Würze
21;Aranische Rasur
22;Beruhigung
23;Blütenduft
24;Ehrfürchtiges Verhalten
25;Feenfüße
26;Grußworte
27;Guten Morgen
28;Haarpracht
29;Heller Stern
30;Hintergrundmusik
31;Insektenbann
32;Luftstoß
33;Nagellack
34;Ordentlich
35;Rohrstock
36;Sandfigur
37;Schminken
38;Selbstarchivierung
39;Tätowierung
40;Unheimliches Lachen
41;Wasserhöhe
42;Weisheit des Leytfadens
43;Zauberfeder
