id;name
1;Bann der Dunkelheit
2;Bann der Furcht
3;Bann des Lichts
4;Blendstrahl
5;Ehrenhaftigkeit
6;Entzifferung
7;Ermutigung
8;Fall ins Nichts
9;Friedvolle Aura
10;Giftbann
11;Göttlicher Fingerzeig
12;Göttliches Zeichen
13;Heilsegen
14;Kleiner Bann wider Untote
15;Kleiner Bannstrahl
16;Krankheitsbann
17;Lautlos
18;Magieschutz
19;Magiesicht
20;Mondsicht
21;Mondsilberzunge
22;Objektsegen
23;Ort der Ruhe
24;Pflanzenwuchs
25;Rabenruf
26;Schlaf
27;Schlangenstab
28;Schlangenzunge
29;Schmerzresistenz
30;Schutz der Wehrlosen
31;Sternenglanz
32;Wahrheit
33;Wieselflink
34;Wundersame Verständigung
35;Ackersegen
36;Exorzismus
37;Geweihter Panzer
38;Löwengestalt
39;Nebelleib
40;Objektweihe
41;Angriffslust
42;Angriffswelle
43;Auge des Jägers
44;Bann der göttlichen Gaben
45;Bann wider Untote
46;Bannstrahl
47;Befreiung des Geistes
48;Begnadeter Reiter
49;Besänftigung
50;Bescheidenheit
51;Beschwörung der gemeinen Diener des Rattenkindes
52;Blendung
53;Blick des Heilers
54;Blitzschlag
55;Blutiger Zorn
56;Blutzoll
57;Bodenweihe
58;Dämonenwall
59;Delphinruf
60;Des Einen bezaubernder Sphärenklang
61;Ehrlicher Vertrag
62;Entfesselung
63;Erdbeben
64;Ernüchterung
65;Erzene Opfergabe
66;Feuerwall
67;Friedfertigkeit
68;Friedvoller Rausch
69;Froststurm
70;Gebieter der Flammen
71;Geisterblick
72;Gesegneter Rausch
73;Getreidewachstum
74;Goldene Hand
75;Goldene Rüstung
76;Göttliche Klinge
77;Göttliche Verständigung
78;Heiliger Befehl
79;Heiliges Liebesspiel
80;Heilsame Quelle
81;Heldenkraft
82;Helfende Hand
83;Herbeirufung der Heerscharen des Rattenkindes (Ratten)
84;Herbeirufung der Heerscharen des Rattenkindes (Schakale)
85;Herbeirufung der Heerscharen des Rattenkindes (Vampirfledermäuse)
86;Herbeirufung der Heerscharen des Rattenkindes (Wolfsspinnen)
87;Herr der Flammen
88;Hilfreiche Seele
89;Innere Ruhe
90;Klarer Geist
91;Kleine Windhose
92;Lebensschutz
93;Liturgieschild
94;Mächtiger Angriff
95;Magiebann
96;Magiespiegel
97;Maske
98;Mit Dummheit schlagen
99;Motivation
100;Namenlose Kälte
101;Namenlose Raserei
102;Namenlose Zweifel
103;Namenloses Vergessen
104;Obsession
105;Offenlegung des Geistes
106;Opfergang
107;Pech und Schwefel
108;Rattenschwarm
109;Ruf der Heimat
110;Schleichende Fäulnis
111;Schutzsegen
112;Schwindende Zauberkraft
113;Seelenschatten
114;Seevogelsprache
115;Sicherer Weg
116;Sturmruf
117;Tiere beruhigen
118;Tierleid lindern
119;Tiersprache
120;Treuer Begleiter
121;Unterwasseratmung
122;Versteinerung
123;Wasserlauf
124;Windhose
125;Windruf
126;Zähe Haut
127;Ächtung (Exkommunikation)
128;Aufnahme (Initiation)
129;Ausbrennen (Purgation)
130;Bannfluch (Anathema)
131;Berauschender Wein
132;Beschwörung der hohen Diener des Rattenkindes
133;Beschwörung der machtvollen Diener des Rattenkindes
134;Bild für die Ewigkeit
135;Blick in die Flammen
136;Delphingestalt
137;Eidechsengestalt
138;Eisbärgestalt
139;Erinnern
140;Fest der Freude
141;Frostschutz
142;Fruchtbarkeit
143;Fuchsgestalt
144;Gänsegestalt
145;Geschwinder Schritt
146;Göttliche Erkenntnis
147;Greifenruf
148;Guter Fang
149;Häutung
150;Heiliger Schwur
151;Herr der Meere
152;Hilfe in der Not
153;Inspiration
154;Jagdglück
155;Jugendlichkeit
156;Kleine Moralstärkung
157;Läuterung des Erzes
158;Liturgieabsorption
159;Makelloser Leib
160;Metallerhitzung
161;Moralstärkung
162;Nahrungsreinigung
163;Nebenschwaden
164;Ortsweihe (Sanctum)
165;Panthergestalt
166;Paradiesvogelgestalt
167;Pferdegestalt
168;Priesterweihe (Ordination)
169;Rabengestalt
170;Reisesegen
171;Sättigung
172;Schlangengestalt
173;Schwanengestalt
174;Seelenbannung
175;Seelenprüfung
176;Segnung des Heims
177;Sicherer Tritt
178;Speisung
179;Staub und Schimmel
180;Storchengestalt
181;Tempelweihe (Konsekration)
182;Traumbild
183;Unbeschwerte Wanderung
184;Verblassende Erinnerung
185;Vergessen
186;Waffenfluch
187;Wegweiser
188;Weihe des Heims
189;Wiederherstellung
190;Winterschlaf
191;Zuflucht
192;Zwergwalgestalt
