id;name
1;Banish Darkness
2;Banish Fear
3;Banish Light
4;Blinding Ray
5;Enforce Honor
6;Decipher Text
7;Encourage
8;Fall into Nothing
9;Peaceful Aura
10;Banish Poison
11;Divine Guidance
12;Divine Sign
13;Blessing of Healing
14;Minor Undead Ban
15;Minor Banishing Ray
16;Banish Disease
17;Without a Sound
18;Protection from Magic
19;See Magic
20;Moon's Gaze
21;Moonsilver Tongue
22;Bless Object
23;Place of Calm
24;Plant Growth
25;Raven Call
26;Sleep
27;Serpent Staff
28;Serpent Tongue
29;Pain Tolerance
30;Protect the Defenseless
31;Starshine
32;Truth
33;Quicksilver
34;Wondrous Communication
35;Field Blessing
36;Exorcism
37;Sacred Armor
38;Lion Shape
39;Fog Body
40;Sanctify Object
