id;name
1;Storyteller
2;Haimamud
3;Skald
4;Overseer
5;Jailer
7;Tollkeeper
8;Acrobat
9;Animal Tamer
10;Knife Thrower
11;Clown
12;Fortune Teller
13;Pit Fighter
14;Show Fighter
15;Traveling Vendor
16;Long-Distance Trader
17;Moneychanger
18;Hawker
19;Barterer
20;Midwife
21;Medicus
22;Quack
23;Tooth Puller
24;Noble Scion
25;Diplomat
26;Lady-in-Waiting
27;Dallier
28;Big Game Hunter
29;Bounty Hunter
30;Slave Hunter
31;Tribal Hunter
36;Courtly Knight
37;Robber Knight
38;Hedge Knight
39;Fisher
40;Pirate
41;Whaler
42;Seal Hunter
43;Skirmisher
44;Lightly Armored
45;Heavily Armored 
46;Secret Agent
47;Assassin
48;Beggar
49;Thief
50;Cat Burglar
51;Confidence Trickster
52;Gambler
54;Servant of Bishdariel
55;Servant of Golgaris
56;Pastori
57;Satori
58;Healer
59;Sower
60;Cutpurse
61;Merchant
62;Burglar
63;Legalist
64;Principist
65;Salutist
66;Traditionalist
67;Honor
