id;name;spec;spec_input;tools;quality;failed;critical;botch;src
1;Fliegen;1?Kampfmanöver&&2?Langstreckenflug&&3?Verfolgungsjagden;;das entsprechende Fluggerät;Distanzen können schneller überwunden werden.;Das Flugmanöver ist misslungen und muss abgebrochen werden.;Dem Held ist nicht nur das Manöver gelungen, sondern er hat eine zusätzliche Aktion in dieser Runde.;Der Held stürzt ab.;188
2;Gaukeleien;1?Jonglieren&&2?Possenreißen&&3?Verstecktricks;;je nach Trick z.B. Bälle, Fackel, Schlangen, Spielkarten;Der Trick ist besonders gut gelungen und die Zuschauer applaudieren mehr.;Der Trick funktioniert nicht richtig, kleine Fehler schleichen sich bei dem Versuch ein. Das Publikum ist enttäuscht.;Die Zuschauer sind fasziniert, halten den Trick gar für echte Magie, und potenzielle Geldeinnahmen des Gauklers verdoppeln sich.;Der Held wird bei der Präsentation ausgebuht, da ihm ein Missgeschick passiert (mit Jonglierkeule einen Zuschauer getroffen, mit Pyrotechnik den Bürgermeister verletzt etc.).;188
3;Klettern;1?Baumklettern&&2?Bergsteigen&&3?Eisklettern&&4?Fassadenklettern;;eventuell Kletterausrüstung;Der Held kommt schneller an seinem Ziel an.;Der Held braucht viel länger als üblich, verletzt sich leicht (1W3 SP), traut sich nicht, zu klettern, oder hängt fest.;Ohne Schwierigkeiten und viel schneller als gewöhnlich hat der Held den Aufstieg geschafft. Zuschauer halten ihn für den besten Kletterer Deres. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held rutscht ab und fällt (siehe Seite 340, Sturzschaden).;189
4;Körperbeherrschung;1?Akrobatik&&2?Balance&&3?Entwinden&&4?Kampfmanöver&&5?Laufen&&6?Springen;;;Der Abenteurer kann sich schneller aus einer Fesselung befreien.;Die Handlung des Helden geht teilweise schief, er braucht länger und macht Fehler oder muss die Handlung abbrechen.;Dem Held gelingt seine Handlung und er hat noch eine zusätzliche Aktion zur Verfügung. Und was immer der Held getan hat: Es sah elegant aus.;Der Held stürzt und erleidet Schaden (1W6 SP).;189
5;Kraftakt;1?Drücken & Verbiegen&&2?Eintreten & Zertrümmern&&3?Stemmen & Heben&&4?Ziehen & Zerren;;eventuell Brecheisen oder Seil;Für einen kurzen Zeitraum kann der Held mehr Gewicht stemmen oder eine schwere Last länger halten.;Die Handlung des Helden misslingt.;Der Held beeindruckt durch seine Muskelkraft alle Zuschauer und gilt fortan als einer der stärksten Aventurier. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Die Handlung des Helden misslingt völlig. Er stürzt, verhebt sich o.Ä. und verletzt sich dabei (1W6 SP).;189
6;Reiten;1?Kampfmanöver&&2?Langstreckenreiten&&3?Springreiten&&4?Verfolgungsjagden;;Reittier;Der Held ist schneller an seinem Ziel.;Das Tier bewegt sich nicht oder nicht so, wie es soll.;Das Tier macht seine Sache ausgezeichnet und wie gewünscht, der Reiter hat eine weitere Aktion zur Verfügung.;Das Tier wirft den Reiter ab und er stürzt zu Boden (siehe Seite **340**, Sturzschaden).;190
7;Schwimmen;1?Kampfmanöver&&2?Langstreckenschwimmen&&3?Tauchen&&4?Verfolgungsjagden&&5?Wassertreten;;;Der Held ist schneller an seinem Ziel.;Der Held traut sich nicht zu schwimmen oder kommt nicht sonderlich weit – auf jeden Fall nicht bis dahin, wohin er wollte.;Der Held schwimmt die Strecke in Bestzeit. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held geht unter (siehe Seite 340ff., Erstickungsschaden). Grund dafür könnte ein Wadenkrampf sein.;190
8;Selbstbeherrschung;1?Folter widerstehen&&2?Handlungsfähigkeit bewahren&&3?Störungen ignorieren;;;Die Selbstbeherrschung hält für einen längeren Zeitraum.;Dem Helden gelingt es nicht, den Schmerz zu unterdrücken oder die Ablenkung zu ignorieren.;Es gelingt dem Helden, Schmerzen (bis Stufe III) und Ablenkungen einen ganzen Tag lang zu ignorieren.;Der Held erhält für die nächste Stunde 2 Stufen des Zustands *Schmerz* oder ist durch die Ablenkung *Überrascht*.;190
9;Singen;1?Bardenballade&&2?Choral&&3?Chorgesang&&4?Sprechgesang;;;Der Gesang ist so gut, dass der Held mehr Applaus durch die Zuhörer erhält.;Der Held vergisst den Text oder sein Auftritt gerät eher schlecht als recht.;Der Gesang des Helden ist noch in vielen Wochen Thema seiner Zuhörer. Hat der Held sich um Geld bemüht, dann nimmt er mindestens das Doppelte ein als üblich. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held liegt mehrere Halbtöne daneben oder vergeigt den Rhythmus. Das Lied ist eine Qual für jeden Zuhörer, der Held wird ausgebuht.;191
10;Sinnesschärfe;1?Hinterhalt entdecken&&2?Suchen&&3?Wahrnehmen;;;Der Held bemerkt weitere Details.;Der Held bemerkt nichts.;Der Held nimmt sogar kaum bemerkbare Details wahr. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held nimmt etwas anderes wahr, als das, was wirklich wichtig wäre. Er könnte zum Beispiel die in der Nähe befindlichen Blumen riechen, dafür aber nicht den auffällig stinkenden Oger, der an ihn heranschleicht.;191
11;Tanzen;1?Dorftanz&&2?Exotischer Tanz&&3?Hoftanz&&4?Kulttanz;;;Der Tanz ist so gut, dass der Held mehr Applaus erhält.;Der Held bringt die Tanzschritte durcheinander.;Die Aufmerksamkeit der Zuschauer fällt wegen des perfekten Tanzes auf den Helden. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held tritt seiner Tanzpartnerin auf die Füße und verletzt sie dabei oder er stürzt und blamiert sich.;192
12;Taschendiebstahl;1?Ablenkungen&&2?Person bestehlen&&3?Gegenstand entwenden&&4?Zustecken;;eventuell Messer oder Dolch;Der Taschendiebstahl wird später bemerkt.;Der Versuch misslingt oder das Opfer bemerkt den Diebstahl.;Das Opfer hat den Diebstahlversuch nicht bemerkt und der Held hat besonders wertvolle Beute gemacht oder gleich mehrere Ziele bestohlen. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Der Held wird von umstehenden Personen oder dem Opfer beobachtet, ohne es zu bemerken, und der Diebstahlversuch misslingt. Außerdem ist er *Überrascht*.;192
13;Verbergen;1?Gegenstände verbergen&&2?Schleichen&&3?Sich verstecken;;;Der Held kann schwieriger entdeckt werden oder findet schneller ein Versteck.;Der Held hat sich nur dürftig versteckt oder Geräusche beim Schleichen verursacht.;Der Held hat ein perfektes Versteck gefunden oder ist lautlos wie eine Katze. Für Qualitätsstufen, Vergleichs- und Sammelproben gilt: FP = doppelter FW.;Irgendetwas (Teller, ein Möbelstück) ist umgefallen.;193
14;Zechen;1?Vermeidung von Betäubung durch Rauschmittel&&2?Vermeidung von Schmerz durch Rauschmittel&&3?Vermeidung von Verwirrung durch Rauschmittel;;;Der Held verträgt viel mehr als üblich.;Der Held erhält eine Stufe des Zustands *Betäubung* und erwacht am nächsten Tag mit Kopfschmerzen oder anderen unliebsamen Auswirkungen seines Gelages.;Dem Helden gelingt es, bis zum bitteren Ende durchzuhalten, und trotzdem geht es ihm am nächsten Morgen blendend.;Der Held begeht in seinem Zustand jedwede Peinlichkeit. Er zerlegt die halbe Taverne, wacht morgens nackt auf dem Markt oder in einem fremden Bett auf, plaudert Geheimnisse an den Feind aus und kann sich danach an nichts mehr erinnern.;193
15;Bekehren & Überzeugen;1?Diskussionsführung&&2?Einzelgespräch&&3?Öffentliche Rede;;;Mehr Menschen lassen sich von dem Helden bekehren, oder der Bekehrte folgt seiner neuen Überzeugung länger.;Das Opfer glaubt dem Prediger nicht.;Das Opfer der Überzeugungsversuche ist vollends überzeugt.;Das Opfer fühlt sich vom Prediger beleidigt oder für dumm verkauft.;194
16;Betören;1?Anbändeln&&2?Aufhübschen&&3?Liebeskünste;;;Der Bezirzte ist bereit, mehr für den Helden zu tun.;Dem Helden gelingt es vorerst nicht, Interesse beim Opfer zu wecken.;Das Verführungsopfer versucht, dem betörenden Helden alle Wünsche zu erfüllen.;Der Held kassiert eine schallende Ohrfeige für seinen plumpen Anmachversuch.;195
17;Einschüchtern;1?Drohung&&2?Folter&&3?Provokation&&4?Verhör;;;Das Opfer ist länger eingeschüchtert oder verrät dem Helden mehr als erwartet.;Das Gegenüber ignoriert alle Schmähungen und Einschüchterungsversuche des Helden.;Das Gegenüber des Helden ist vollkommen eingeschüchtert und wird in absehbarer Zeit nichts mehr gegen den Helden unternehmen.;Anstatt eingeschüchtert oder beleidigt zu sein, geschieht das Gegenteil: Das Opfer ist wütend, völlig gelassen oder amüsiert. Oder der Held macht sich mit seinem Gehabe völlig zum Affen.;195
18;Etikette;1?Benehmen&&2?Klatsch & Tratsch&&3?Leichte Unterhaltung&&4?Mode;;;Der Held hinterlässt einen guten Eindruck und bleibt positiv in Erinnerung.;Der Held kann sich nicht an alle wichtigen Benimmregeln erinnern und fällt unangenehm auf.;Auf der Feier ist der Held aufgrund seines Benehmens, Wortwitzes und Charmes der Mittelpunkt.;Der Held beleidigt mit seinem Verhalten eine wichtige Persönlichkeit.;196
19;Gassenwissen;1?Beschattung&&2?Informationssuche&&3?Ortseinschätzung;;;Der Held erhält mehr Informationen oder erlangt sie schneller als erwartet.;Der Held erhält keine hilfreichen Informationen.;Der Held entdeckt ein besonders gutes, aber günstiges Gasthaus, erhält mehr Informationen, als er erwartet hat, oder es gelingt ihm, einen Kontaktmann zu finden, der ihm exzellente Konditionen anbietet.;Der Held gerät in den Hinterhalt einer Bande Schurken, die ihn ausplündern wollen.;196
20;Menschenkenntnis;1?Lügen durchschauen&&2?Motivation erkennen;;;Der Held hat einen stärkeren Verdacht, was sein Gegenüber vorhat oder warum es lügt.;Der Held ist sich nicht sicher.;Der Held durchschaut die Person komplett.;Der Held ist einer kompletten Fehleinschätzung aufgesessen. So könnte er beispielsweise einem Lügner wirklich alles glauben, ehrlichen Leuten hingegen kein Wort.;197
21;Überreden;1?Aufschwatzen&&2?Betteln&&3?Herausreden&&4?Manipulieren&&5?Schmeicheln;;;;;;;
22;Verkleiden;1?Bühnenschauspiel&&2?Kostümierung&&3?Personen imitieren;;;;;;;
23;Willenskraft;1?Bekehren & Überzeugen widerstehen&&2?Bedrohungen standhalten&&3?Betören widerstehen&&4?Einschüchtern widerstehen&&5?Überreden widerstehen;;;;;;;
24;Fährtensuchen;1?Verwischen eigener Fährte&&2?Humanoide Spuren&&3?Tierische Spuren;;;;;;;
25;Fesseln;1?Fesselungen&&2?Knotenkunde&&3?Netze knüpfen;;;;;;;
26;Fischen & Angeln;1?Salzwassertiere&&2?Süßwassertiere&&3?Wasserungeheuer;;;;;;;
27;Orientierung;1?Sonnenstand&&2?Sternenhimmel&&3?Unter Tage;;;;;;;
28;Pflanzenkunde;1?Giftpflanzen&&2?Heilpflanzen&&3?Nutzpflanzen;;;;;;;
29;Tierkunde;1?Domestizierte Tiere&&2?Ungeheuer&&3?Wildtiere;;;;;;;
30;Wildnisleben;1?Feuermachen&&2?Lageraufbau&&3?Lagersuche;;;;;;;
31;Brett- & Glücksspiel;1?Würfelspiele&&2?Brettspiele&&3?Kartenspiele&&4?Wettspiele;;;;;;;
32;Geographie;1?Albernia&&2?Almada&&3?Garetien&&4?Kosch&&5?Nordmarken&&6?Rommilyser Mark&&7?Tobrien&&8?Weiden&&9?Windhag&&10?Al'Anfanisches Imperium&&11?Andergast&&12?Aranien&&13?Bergkönigreiche der Zwerge&&14?Bornland&&15?Gjalskerland&&16?Hoher Norden&&17?Horasreich&&18?Kalifat&&19?Maraskan&&20?Nostria&&21?Orkland&&22?Salamandersteine & umliegende Gebiete der Elfen&&23?Schattenlande&&24?Südmeer & Waldinseln&&25?Svellttal&&26?Thorwal&&27?Tiefer Süden&&28?Tulamidenlande&&29?Zyklopeninseln;;;;;;;
33;Geschichtswissen;1?Albernia&&2?Almada&&3?Garetien&&4?Kosch&&5?Nordmarken&&6?Rommilyser Mark&&7?Tobrien&&8?Weiden&&9?Windhag&&10?Al'Anfanisches Imperium&&11?Andergast&&12?Aranien&&13?Bergkönigreiche der Zwerge&&14?Bornland&&15?Gjalskerland&&16?Hoher Norden&&17?Horasreich&&18?Kalifat&&19?Maraskan&&20?Nostria&&21?Orkland&&22?Salamandersteine & umliegende Gebiete der Elfen&&23?Schattenlande&&24?Südmeer & Waldinseln&&25?Svellttal&&26?Thorwal&&27?Tiefer Süden&&28?Tulamidenlande&&29?Zyklopeninseln;;;;;;;
34;Götter & Kulte;1?Praios&&2?Rondra&&3?Efferd&&4?Travia&&5?Boron&&6?Hesinde&&7?Firun&&8?Tsa&&9?Phex&&10?Peraine&&11?Ingerimm&&12?Rahja&&13?Namenloser&&14?Aves&&15?Ifirn&&16?Kor&&17?Nandus&&18?Swafnir&&19?Marbo&&20?Levthan&&21?Rastullah;nach Gottheit oder Philosophie;;;;;;
35;Kriegskunst;1?Belagerung&&2?Feldschlacht&&3?Partisanenkampf&&4?Seegefechte&&5?Tunnelkampf;;;;;;;
36;Magiekunde;1?Artefakte&&2?Magische Wesen&&3?Rituale&&4?Zaubersprüche;;;;;;;
37;Mechanik;1?Hebel&&2?Hydraulik&&3?Komplexe Systeme;;;;;;;
38;Rechnen;1?Bruchrechnung&&2?Punktrechnung&&3?Strichrechnung;;;;;;;
39;Rechtskunde;1?Albernia&&2?Almada&&3?Garetien&&4?Kosch&&5?Nordmarken&&6?Rommilyser Mark&&7?Tobrien&&8?Weiden&&9?Windhag&&10?Al'Anfanisches Imperium&&11?Andergast&&12?Aranien&&13?Bergkönigreiche der Zwerge&&14?Bornland&&15?Gjalskerland&&16?Hoher Norden&&17?Horasreich&&18?Kalifat&&19?Maraskan&&20?Nostria&&21?Orkland&&22?Salamandersteine & umliegende Gebiete der Elfen&&23?Schattenlande&&24?Südmeer & Waldinseln&&25?Svellttal&&26?Thorwal&&27?Tiefer Süden&&28?Tulamidenlande&&29?Zyklopeninseln;;;;;;;
