id;name;spec;specInput
1;Alaani;Gajka&Takellen;
2;Angram;;
3;Asdharia;Shakagoran;
4;Atak;Tulamidisch&Güldenländisch;
5;Aureliani;;
6;Bosparano;Kirchenbosparano&Magierbosparano;
7;Fjarningsch;;nach Stamm
8;Garethi;Aretya&Horathi&Bornländisch&Brabaci&Maraskani&Arberned&Andergastisch&Charypto&Gatamo;
9;Goblinisch;;nach Stamm
10;Isdira;;nach Elfenvolk
11;Mohisch;;nach Stamm
12;Nujuka;;nach Stamm
13;Ogrisch;;
14;Oloarkh;;
15;Ologhaijan;;nach Stamm
16;Rabensprache;;
17;Rogolan;;nach Zwergenvolk
18;Rssahh;;nach Echsenvolk
19;Ruuz;;
20;Saga-Thorwalsch;;
21;Thorwalsch;Nordthorwal&Südthorwal&Waskirer Hochland;
22;Trollisch;;nach Stamm
23;Tulamidya;Aranisch&Khôm-Novadisch&Maraskani-Tulamidya&Mhanadisch-Balashidisch&Zahorisch;
24;Ur-Tulamidya;;nach Region
25;Zelemja;;
26;Zhayad;;
27;Zyklopäisch;;
28;Amuurak;;
29;Bukanisch;;
30;Drachisch;;
31;Ferkina;;nach Stamm
32;Gjalskisch;;nach Stamm
33;Golp;;
34;Grolmisch;;
35;Hummerisch;;
36;Kemi;;
37;Koboldisch;;
38;Krakonisch;;
39;Mahrisch;Mar'sa&Mar'ka;
40;Molochisch;;
41;Neckergesang;;
42;Riesensprache;;
43;Rissoal;;nach Rissovolk
44;Tiefzwergisch;;nach Stamm
45;Yetan;;nach Stamm
46;Z'Lit;;
47;Zhulchammaqra;;nach Stamm
48;Zyklopisch;;
49;Dschuku;;nach Stamm
50;Goropo;;
51;Hoch-Gryphonisch;;
52;Khami;;
53;Nathani;;nach Stamm
54;Petaya;;nach Stamm
55;Rssahh-Dra;;nach Stamm
56;Schwarz-Gryphonisch;;
57;Uthurisch;;
58;Xoxota;;nach Region
59;Archäisch;;
60;Draydalanisch;;nach Region
61;Früh-Imperial;;nach Region
62;Gemein-Amaunal;;nach Region
63;Gemein-Imperial;;nach Region
64;Grolmurisch;;
65;Hiero-Amaunal;;nach Region
66;Hiero-Imperial;;nach Region
67;Kerrishitisch;;nach Insel
68;Leonal;;nach Stamm
69;Loualilisch;;
70;Myranisch;;
71;Neristal;;
72;Pardiral;;nach Stamm
73;Shingwanisch;;nach Stamm
74;Shinoq;;
75;Vinshinisch;;
