id;name
1;Altes Alaani
2;Angram-Bilderschrift
3;Chrmk
4;Chuchas
5;Geheiligte Glyphen von Unau
6;Hjaldingsche Runen
7;Imperiale Zeichen
8;Isdira- und Asdharia-Zeichen
9;Kusliker Zeichen
10;Nanduria-Zeichen
11;Rogolan-Runen
12;Thorwalsche Runen
13;Trollische Raumbilderschrift
14;Tulamidya-Zeichen
15;Ur-Tulamidya-Zeichen
16;Zhayad-Zeichen
17;Amulashtra-Glyphen, alt
18;Amulashtra-Glyphen, modern
19;Arkanil
20;Drakhard-Zinken
21;Drakned-Glyphen
22;Gilmaril
23;Gjalsker Runen
24;Kemi-Symbole
25;Mahrische Glyphen
26;Hoch-Gryphonisches Alphabet
27;Khami-Hieroglyphen
28;Xo'Artal-Glyphen
29;Amaunische Kratzschrift
30;Anneristalya-Bilderschrift
31;Draydalanische Schriftzeichen
32;Früh-Imperiale Glyphen
33;Imperiale Buchstaben
34;Kerrishitische Silbenzeichen
35;Khorrzu-Symbole
