id;name
1;Stärkerer Schild
2;Großer Radius
3;Reichweite Berührung
4;Ausnahme
5;Größerer Umfang
6;Tadelloser Vorkoster
7;Mittlere Tiere
8;Keine Aufrechterhaltung
9;Große Tiere
10;Zielkategorie Objekt 
11;Weites Zurückwerfen
12;Erz-Zerstörer
13;Zwei Ziele
14;Vier Ziele
15;Acht Ziele
16;Reichweite Berührung
17;Noch weiter
18;Donnerstimme
19;Zielkategorie Lebewesen
20;Längere Wirkungsdauer
21;Großer Radius
22;Größere Reichweite
23;Verteilte Wirkung
24;Zwei Ziele
25;Intensiver Strahl
26;Windender Strahl
27;Zwei Ziele
28;Intensive Explosion
29;Schneller Ball
30;Großer Radius
31;Gute Illusion 1
32;Gute Illusion 2
33;Gute Illusion 3
34;Zielkategorie Lebewesen
35;Schnellsteigerung
36;Keine Aufrechterhaltung
37;Zielkategorie Lebewesen
38;Schnellsteigerung
39;Keine Aufrechterhaltung
40;Zielkategorie Lebewesen
41;Schnellsteigerung
42;Keine Aufrechterhaltung
43;Zielkategorie Lebewesen
44;Schnellsteigerung
45;Keine Aufrechterhaltung
46;Zwei Ziele
47;Vier Ziele
48;Massenerwachen
49;Aus dem Limbus
50;Stärkerer Sog
51;Größerer Radius
52;Gute Illusion 1
53;Gute Illusion 2
54;Gute Illusion 3
55;Gute Illusion 1
56;Gute Illusion 2
57;Gute Illusion 3
58;Zwei Personen
59;Vier Personen
60;Acht Personen
61;Geistige Eigenschaften
62;Zwei Ziele
63;Vier Ziele
64;Zielkategorie Lebewesen
65;Sehschwierigkeiten
66;Zwei Ziele
67;Ausrüstung tarnen
68;Unsichtbarer Jäger
69;Reichweite Berührung
70;Längere Wirkungsdauer 1
71;Längere Wirkungsdauer 2
72;Längere Wirkungsdauer 3
73;Zielkategorie Objekt 
74;Fixiert
75;Humus-Zerstörer
76;Reichweite erhöhen
77;Zauberdauer senken
78;Kosten senken
79;Schutzhaut
80;Großer Radius
81;Reichweite Berührung
82;Geisterzone
83;Feenzone
84;Durchdringung
85;Höhere Zerstörungskraft 1
86;Höhere Zerstörungskraft 2
87;Ausgeweitete Zerstörung
88;Großer Radius
89;Angsteinflößende Dunkelheit
