id;name
1;Antidot
2;Glas
3;Heiltrank
4;Liebestrunk
5;Porzellan
6;Unsichtbarkeitselixier
7;Verwandlungselixier
8;Waffenbalsam
9;Willenstrunk
10;Zaubertrank
11;Algebra
12;Boltan
13;Drehleier
14;Elfenbogen
15;Garadan
16;Geometrie
17;Kamelspiel
18;Spinett
19;Standharfe
20;Uhrwerk
21;Drachenschuppen
22;Drôler Spitze
23;Dunkle Pforten
24;Durch den Efferdwall und zurück
25;Fältelungstechnik
26;Feuerwerk
27;Filigranes Kettenknüpfen
28;Gefäße des Rohal
29;Inseln im Nebel
30;Iryanleder
31;Landsegler
32;Lehmbacktechnik
33;Magierphilosophie
34;Menacoriten
35;Myranor-Geographie
36;Orkischer Kalender
37;Schaumkuss
38;Schokolade
39;Tulmadron-Abbau
40;Unauer Porzellan
41;Uthuria-Geographie
42;Vinsalter Ei
43;Vorfahren der Mittelländer
44;Wahrscheinlichkeitsrechnung
45;Weg durch die Sargasso-See
46;Zeitalterforschung
47;Zwergische Tresore
48;Aussatz
49;Blaue Keuche
50;Blutiger Rotz
51;Gilbe
52;Jahresfieber
53;Schwarze Wut
54;Sumpffieber
55;Tollwut
56;Zorganpocken
57;Kelmon
58;Kukris
59;Omrais
60;Sunsura
61;Tulmadron
62;Boltan
63;Garadan
64;Inrahspiel
65;Kamelspiel
66;Pentagramm
67;Schlacht von Jergan
68;Die böse Eins
69;Balestrina
70;Basiliskenzunge
71;Drachenzahn
72;Eisenwalder
73;Elfenbogen
74;Felsspalter
75;Florett
76;Handarmbrust
77;Kompositbogen
78;Lindwurmschläger
79;Pailos
80;Robbentöter
81;Rondrakamm
82;Schwere Armbrust
83;Sonnenzepter
84;Tuzakmesser
85;Wolfsmesser
86;Zweililien
87;Zwergenschlägel
88;Armillarssphäre
89;Astrolabium
90;Brevier der zwölfgöttlichen Unterweisung
91;Codex Albyricus
92;Encyclopedia Magica
93;Fernrohr
94;Fernrohr, zusammenschiebbar
95;Fernrohr, kleines
96;Fernrohr, großes
97;Herbarium Kuslikum
98;Hilffreycher Leytfaden des wandernden Adepten
99;Zauberkerze
100;Kompass (Südweiser)
101;Kompass (Südweiser), Metallgehäuse
102;Zauberkreide
103;Magierrobe
104;Phiole
105;Prems Tierleben
106;Quadrant
107;Seife
108;Seife, parfümiert
109;Taschenuhr (Vinsalter Ei)
110;Vademecum für das Waffenhandwerk
