id;name
1;Adlerauge
2;Analys Arkanstruktur
3;Armatrutz
4;Axxeleratus
5;Balsam Salabunde
6;Bannbaladin
7;Blick in die Gedanken
8;Blitz dich find
9;Corpofesso
10;Disruptivo
11;Duplicatus
12;Falkenauge
13;Flim Flam
14;Fulminictus
15;Gardianum
16;Große Gier
17;Harmlose Gestalt
18;Hexengalle
19;Hexenkrallen
20;Horriphobus
21;Ignifaxius
22;Invocatio Minima
23;Katzenaugen
24;Krötensprung
25;Manifesto
26;Manus Miracula
27;Motoricus
28;Nebelwand
29;Oculus Illusionis
30;Odem Arcanum
31;Paralysis
32;Penetrizzel
33;Psychostabilis
34;Radau
35;Respondami
36;Salander
37;Sanftmut
38;Satuarias Herrlichkeit
39;Silentium
40;Somnigravis
41;Spinnenlauf
42;Spurlos
43;Transversalis
44;Visibili
45;Wasseratem
46;Arcanovi
47;Dschinnenruf
48;Elementarer Diener
49;Invocatio Maior
50;Invocatio Minor
51;Zauberklinge Geisterspeer
52;Beiß auf Granit!
53;Beute!
54;Hagelschlag
55;Hexenschuss
56;Pech an den Hals wünschen
57;Pestilenz
58;Schlaf rauben
59;Unfruchtbarkeit
60;Warzen sprießen
61;Zunge lähmen
62;Erinnerungsmelodie
63;Friedenslied
64;Freundschaftslied
65;Melodie der Kunstfertigkeit
66;Sorgenlied
67;Zaubermelodie
68;Ängste lindern
69;Atemnot
70;Attributo Körperkraft
71;Claudibus
72;Corpofrigo
73;Dunkelheit
74;Ecliptifactus
75;Große Verwirrung
76;Herr über das Tierreich
77;Hexenholz
78;Hexenknoten
79;Höllenpein
80;Ignisphaero
81;Klarum Purum
82;Pestilenz erspüren
83;Schlangenruf
84;Sensibar
85;Sumus Elixiere
86;Vipernblick
87;Zunge betäuben
88;Zwingtanz
89;Ablativum
90;Abvenenum
91;Adlerschwinge
92;Aeolito
93;Alpgestalt
94;Altisonus
95;Angst auslösen
96;Archofaxius
97;Archosphaero
98;Aromatis Illusionis
99;Attributo Charisma
100;Attributo Fingerfertigkeit
101;Attributo Klugheit
102;Aufwecken
103;Auge des Limbus
104;Aureolus
105;Auris Illusionis
106;Band und Fessel
107;Blick aufs Wesen
108;Blindheit
109;Chamaelioni
110;Dämonenbann
111;Dämonenschild
112;Debilitatio
113;Desintegratus
114;Einflussbann
115;Eisenrost
116;Elementarbann
117;Elfenstimme
118;Erinnerung verlasse dich
119;Exposami
120;Favilludo
121;Fischflosse
122;Foramen
123;Fortifex
124;Gedankebilder
125;Gefunden
126;Haselbusch
127;Heilungsbann
128;Hellsichtbann
129;Heptagramma
130;Herzschlag ruhe
131;Hexagramma
132;Ignorantia
133;Illusionsbann
134;Imperavi
135;Impersona
136;Incendio
137;Invercano
138;Kanifilo
139;Kusch
140;Last des Alters
141;Lunge des Leviatan
142;Manus Illusionis
143;Memorans
144;Menetekel
145;Nuntiovolo
146;Objectobscuro
147;Objectofixo
148;Objektbann
149;Oculus Astralis
150;Orcanofaxius
151;Orcanosphaero
152;Pentagramma
153;Physiostablis
154;Plumbumbarum
155;Projectimago
156;Reflectimago
157;Regeneratio
158;Sapefacta
159;Schmerzen lindern
160;Schwarz und Rot
161;Schwarzer Schrecken
162;Skelettarius
163;Solidirid
164;Taubheit
165;Telekinesebann
166;Tiergedanken
167;Verwandlungsbann
168;Vogelzwitschern
169;Wolfstatze
170;Caldofrigo
171;Nihilogravo
172;Accuratum
173;Hagelschlag und Sturmgebrüll
174;Hartes schmelze
175;Leidensbund
176;Magischer Raub
177;Memorabia Falsifir
178;Movimento
179;Ruhe Körper
180;Unberührt von Satinav
181;Widerwille
182;Wirbelform
183;Xenographus
184;Melodie der Angriffslust
185;Melodie der Erlösung
186;Melodie der Ermutigung
187;Melodie der Feen
188;Melodie der Flammen
189;Melodie der Freundschaft
190;Melodie der Geschwindigkeit
191;Melodie der Heilung
192;Melodie der Täuschung
193;Melodie der Versöhnung
194;Melodie der Verwirrung
195;Melodie der Weisheit
196;Melodie der Wüste
197;Melodie der Zähigkeit
198;Melodie des Bebens
199;Melodie des Einlullens
200;Melodie des Handels
201;Melodie des Kampfes
202;Melodie des Magieschadens
203;Melodie des Meeres
204;Melodie des Rausches
205;Melodie des Windes
206;Melodie des Zauberschutzes
207;Melodie des Zögerns
208;Tanz der Angriffslust
209;Tanz der Beweglichkeit
210;Tanz der Bilder
211;Tanz der Erlösung
212;Tanz der Ermutigung
213;Tanz der Heilung
214;Tanz der Liebe
215;Tanz der Linderung
216;Tanz der magischen Gemeinschaft
217;Tanz der Täuschung
218;Tanz der Träume
219;Tanz der Unantastbarkeit
220;Tanz der Unverletztbarkeit
221;Tanz der Verteidigung
222;Tanz der Verwirrung
223;Tanz der Wacht
224;Tanz der Wahrheit
225;Tanz der Weisheit
226;Tanz des Begehrens
227;Tanz des Blutrausches
228;Tanz des Feuers
229;Tanz des Handels
230;Tanz des Jagdglücks
231;Tanz des Jagdpechs
232;Tanz des Ungehorsams
233;Tanz ohne Ende
